source target probability
207 T Y 4.57656085052498e-21
208 N K 4.25369516990921e-21
209 I V 4.09399398013431e-21
210 L T 4.03537884402883e-21
211 B K 3.77968850766238e-21
212 W Q 3.32807307098488e-21
213 I K 3.12874681445084e-21
214 X K 3.04549266671572e-21
215 X A 3.03407534952874e-21
216 N Q 2.81045454610022e-21
217 D R 2.74151141796593e-21
218 H A 2.60899953928442e-21
219 F D 2.48922697053045e-21
220 O A 1.9266164671129e-21
221 M K 1.90020817713116e-21
222 V W 1.86513191686588e-21
223 H K 1.71480429260347e-21
224 M X 1.60625100961365e-21
225 E Z 1.49088303954049e-21
226 Q P 1.48251817870107e-21
227 K P 1.48069221017032e-21
228 V D 1.47891202623562e-21
229 F E 1.36220396060167e-21
230 Y W 1.31713325326696e-21
231 J D 1.29291460333762e-21
232 C A 1.02365991532738e-21
233 T K 1.00699751200228e-21
234 U A 9.82832906644799e-22
235 V Q 9.68892789904874e-22
236 U K 8.08108956189603e-22
237 V K 7.86403590985017e-22
238 F X 7.55495849916322e-22
239 J W 7.4990385738326e-22
240 G P 7.49172487260967e-22
241 T W 6.59180032198221e-22
242 R Q 6.50439273328524e-22
243 K I 6.39280623721378e-22
244 V R 5.39165484226207e-22
245 Y D 4.997662970383e-22
246 Y X 4.7827610768543e-22
247 Z T 4.55196800382928e-22
248 I R 4.40092967750349e-22
249 N A 3.7728849169613e-22
250 W X 3.29412737185094e-22
251 N D 2.46180364596418e-22
252 D K 2.32693404731478e-22
253 Y T 2.11938974405087e-22
254 Q R 2.01134041913969e-22
255 W T 1.87096143578125e-22
256 X W 1.8163301161063e-22
257 X Z 1.52057379741285e-22
258 Q W 1.50096801825627e-22
259 U W 1.49398966452414e-22
260 R A 1.47596621818708e-22
261 H R 1.36425212579602e-22
262 D Q 1.34844682627657e-22
263 G A 1.34571122989367e-22
264 K A 1.31713930468658e-22
265 N R 1.25984238531289e-22
266 S A 1.25898930474908e-22
267 C X 1.23807408724924e-22
268 A X 1.20626049235021e-22
269 E X 1.17422312855581e-22
270 O K 1.13063822311051e-22
271 R E 1.07600957410494e-22
272 E K 9.7258920189861e-23
273 A Q 8.43664342896072e-23
274 X E 8.16607945634819e-23
275 O Q 8.02006955421849e-23
276 O D 7.98477367992664e-23
277 T Q 5.16487696273103e-23
278 T Z 5.00571819316107e-23
279 U R 4.88244182434729e-23
280 C Q 4.07313920386858e-23
281 U D 4.0274143518372e-23
282 O R 3.95147396639427e-23
283 W F 3.00382490117611e-23
284 F R 2.62639768683019e-23
285 U E 1.51721914500677e-23
286 E R 1.44427259629296e-23
287 Z L 1.30256117489406e-23
288 Q E 1.2373185323291e-23
289 I Q 1.18350376807205e-23
290 M W 1.10795246906676e-23
291 N W 1.02458087070447e-23
292 S X 9.69743392786852e-24
293 H X 8.65908157366327e-24
294 H W 7.87954644634399e-24
295 B F 7.71539189678872e-24
296 S W 7.58800321234631e-24
297 G K 7.30981568243393e-24
298 V T 6.97444845678662e-24
299 B Q 6.64825392904503e-24
300 P K 6.57973996168889e-24
301 F W 6.48290856595884e-24
302 H Q 6.3662180285335e-24
303 O W 6.21407511851013e-24
304 S K 5.86183117315544e-24
305 F T 4.93695220844701e-24
306 C R 4.89409556487339e-24
307 G Q 3.77508020190026e-24
308 P Q 3.6650939508693e-24
309 T V 3.35585651318999e-24
310 E D 3.22199454198989e-24
311 S Q 3.05161178994827e-24
312 G E 2.92742633164387e-24
313 J T 2.78460078119043e-24
314 O X 2.64695800974209e-24
315 M E 2.54960034403019e-24
316 M R 2.47286377441939e-24
317 U T 2.29192472463393e-24
318 N X 2.07937459033834e-24
319 R D 1.85638827904341e-24
320 X D 1.76211026537225e-24
321 P F 1.73651181697034e-24
322 M Q 1.67991715164383e-24
323 O E 1.26373024749248e-24
324 D E 1.15500230754259e-24
325 K W 1.06122621312941e-24
326 D X 9.85912414823527e-25
327 C E 9.10410922338528e-25
328 H E 8.51583070456886e-25
329 A E 8.39033756094092e-25
330 S R 8.33248480580691e-25
331 K X 8.11143481526307e-25
332 G W 8.03038775331323e-25
333 A D 6.79177386891259e-25
334 S D 6.75826661899219e-25
335 T E 6.55356446784486e-25
336 U X 6.46802877603213e-25
337 T R 6.39435816868944e-25
338 A R 6.09550152404681e-25
339 Q I 5.9119368608581e-25
340 Q T 5.62220618638343e-25
341 R X 4.41351873634198e-25
342 C D 4.09499875948997e-25
343 P R 3.68466868722277e-25
344 G D 3.02904674615532e-25
345 B L 2.74823351158513e-25
346 J F 2.33234103027137e-25
347 T X 1.83825166441358e-25
348 K E 1.55485903841945e-25
349 X R 1.52754742594931e-25
350 E T 1.36384174542956e-25
351 Q D 1.28962717043848e-25
352 T D 1.16541450508389e-25
353 K D 1.16450217532433e-25
354 A T 1.15192230788153e-25
355 M D 1.02548551351322e-25
356 S E 8.09979102857748e-26
357 Y G 7.93623086870772e-26
358 B R 6.13399605925431e-26
359 C T 5.95377513440513e-26
360 X T 3.4194485882107e-26
361 A K 2.77601118283333e-26
362 K T 2.14541824040426e-26
363 H D 2.00234792001924e-26
364 V F 1.64066200783653e-26
365 L F 1.22854722294543e-26
366 D T 1.10058408159025e-26
367 R T 9.55426404690842e-27
368 G T 8.43907384442072e-27
369 N T 4.26206409082566e-27
370 F V 4.06516760996582e-27
371 G R 2.35269619629825e-27
372 B O 1.76587283096967e-28
373 J V 9.53714202499313e-29
374 L V 1.24533544558972e-29
375 Z U 5.51675333741043e-32
376 J L 7.41338571502948e-33
377 K F 6.34994908889591e-33
378 Q F 5.23902572709843e-33
379 F C 1.09257611415748e-33
380 W V 7.50356487408942e-34
381 V L 6.34875075733864e-34
